_id,continente,región,país,capital,población,hospedaje_precio_bajo_usd,hospedaje_precio_promedio_usd,hospedaje_precio_alto_usd,comida_precio_bajo_usd,comida_precio_promedio_usd,comida_precio_alto_usd,transporte_precio_bajo_usd,transporte_precio_promedio_usd,transporte_precio_alto_usd,entretenimiento_precio_bajo_usd,entretenimiento_precio_promedio_usd,entretenimiento_precio_alto_usd,precio_big_mac_usd,tasa_de_envejecimiento,fecha_script
67e883b9519fbbe2d57d9a64,África,África Austral,Mozambique,Maputo,31255435,9.0,14.0,18.0,28.0,41.0,53.0,9.0,13.0,16.0,22.0,32.0,41.0,2.53,12.14,2025-04-01
67e883b9519fbbe2d57d9a65,África,África Oriental,Tanzania,Dodoma,59734218,11.0,16.0,20.0,12.0,18.0,23.0,29.0,42.0,54.0,11.0,17.0,22.0,2.42,20.5,2025-04-01
67e883b9519fbbe2d57d9a66,África,África Oriental,Etiopía,Adís Abeba,114963588,16.0,24.0,31.0,8.0,12.0,15.0,21.0,30.0,39.0,19.0,28.0,36.0,6.38,11.08,2025-04-01
67e883b9519fbbe2d57d9a67,África,África Austral,Namibia,Windhoek,2540905,8.0,12.0,15.0,17.0,25.0,32.0,11.0,16.0,20.0,9.0,14.0,18.0,2.28,24.39,2025-04-01
67e883b9519fbbe2d57d9a68,África,África Occidental,Senegal,Dakar,16743927,23.0,34.0,44.0,25.0,36.0,46.0,30.0,44.0,57.0,22.0,32.0,41.0,7.3,19.14,2025-04-01
67e883b9519fbbe2d57d9a69,África,África Oriental,Ruanda,Kigali,12952218,7.0,11.0,14.0,11.0,17.0,22.0,17.0,25.0,32.0,31.0,45.0,58.0,2.96,6.3,2025-04-01
67e8842c4b79361531e7b2c9,América,América del Norte,Canadá,Ottawa,37742154,49.0,71.0,92.0,51.0,74.0,96.0,23.0,34.0,44.0,28.0,40.0,52.0,4.52,14.12,2025-04-01
67e8842c4b79361531e7b2ca,América,América del Norte,Estados Unidos,Washington D. C.,331002651,23.0,33.0,42.0,30.0,43.0,55.0,19.0,28.0,36.0,14.0,21.0,27.0,4.46,24.4,2025-04-01
67e8842c4b79361531e7b2cb,América,América Central,Honduras,Tegucigalpa,9904608,42.0,60.0,78.0,23.0,33.0,42.0,27.0,39.0,50.0,25.0,36.0,46.0,3.24,23.15,2025-04-01
67e8842c4b79361531e7b2cc,América,América del Sur,Brasil,Brasilia,212559417,37.0,53.0,68.0,14.0,20.0,26.0,23.0,33.0,42.0,33.0,48.0,62.0,2.93,23.19,2025-04-01
67e8842c4b79361531e7b2cd,América,América Central,Costa Rica,San José,5094118,16.0,24.0,31.0,21.0,31.0,40.0,14.0,21.0,27.0,24.0,35.0,45.0,1.83,5.69,2025-04-01
67e8842c4b79361531e7b2ce,América,América del Norte,México,Ciudad de México,128932753,46.0,67.0,87.0,39.0,57.0,74.0,30.0,44.0,57.0,25.0,37.0,48.0,6.7,8.64,2025-04-01
67e8842c4b79361531e7b2cf,América,América del Sur,Perú,Lima,32971854,16.0,23.0,29.0,44.0,63.0,81.0,48.0,69.0,89.0,39.0,56.0,72.0,2.81,24.74,2025-04-01
67e8842c4b79361531e7b2d0,América,América Central,Panamá,Ciudad de Panamá,4314767,30.0,44.0,57.0,49.0,70.0,91.0,47.0,68.0,88.0,25.0,37.0,48.0,6.93,17.15,2025-04-01
67e8842c4b79361531e7b2d1,América,América del Sur,Uruguay,Montevideo,3473730,27.0,39.0,50.0,30.0,44.0,57.0,42.0,60.0,78.0,41.0,59.0,76.0,2.15,11.22,2025-04-01
67e8842c4b79361531e7b2d2,América,América del Sur,Argentina,Buenos Aires,45195774,28.0,40.0,52.0,30.0,43.0,55.0,14.0,20.0,26.0,23.0,34.0,44.0,4.84,8.67,2025-04-01
67e8842c4b79361531e7b2d3,América,Caribe,República Dominicana,Santo Domingo,10847910,37.0,53.0,68.0,21.0,31.0,40.0,21.0,31.0,40.0,20.0,29.0,37.0,3.38,6.49,2025-04-01
67e8842c4b79361531e7b2d4,América,América del Sur,Ecuador,Quito,17643060,31.0,45.0,58.0,33.0,48.0,62.0,29.0,42.0,54.0,41.0,59.0,76.0,2.9,9.99,2025-04-01
67e8842c4b79361531e7b2d5,América,Caribe,Cuba,La Habana,11326616,28.0,40.0,52.0,39.0,57.0,74.0,26.0,38.0,49.0,21.0,31.0,40.0,2.64,21.65,2025-04-01
67e8842c4b79361531e7b2d6,América,América Central,El Salvador,San Salvador,6486205,28.0,40.0,52.0,42.0,60.0,78.0,30.0,44.0,57.0,16.0,23.0,29.0,2.32,12.17,2025-04-01
67e8842c4b79361531e7b2d7,América,América del Sur,Bolivia,La Paz,11673029,39.0,56.0,72.0,49.0,70.0,91.0,47.0,68.0,88.0,37.0,53.0,68.0,5.92,7.32,2025-04-01
67e8842c4b79361531e7b2d8,América,América del Sur,Venezuela,Caracas,28435940,18.0,27.0,35.0,34.0,49.0,63.0,27.0,39.0,50.0,48.0,69.0,89.0,1.54,23.98,2025-04-01
67e8842c4b79361531e7b2d9,América,América del Sur,Paraguay,Asunción,7132530,16.0,24.0,31.0,47.0,68.0,88.0,19.0,28.0,36.0,14.0,21.0,27.0,4.54,5.51,2025-04-01
67e8842c4b79361531e7b2da,América,América Central,Guatemala,Ciudad de Guatemala,17915568,14.0,21.0,27.0,50.0,72.0,93.0,35.0,50.0,65.0,44.0,63.0,81.0,2.83,6.48,2025-04-01
67e8842c4b79361531e7b2db,América,América del Sur,Colombia,Bogotá,50882891,20.0,29.0,37.0,42.0,60.0,78.0,34.0,49.0,63.0,17.0,25.0,32.0,4.18,20.7,2025-04-01
67e8842c4b79361531e7b2dc,América,América del Sur,Chile,Santiago,19116201,39.0,57.0,74.0,32.0,47.0,61.0,51.0,74.0,96.0,40.0,58.0,75.0,6.64,15.5,2025-04-01
67e88454b03910499e82c8b9,Asia,Asia Oriental,China,Pekín,1402112000,28.0,41.0,53.0,21.0,30.0,39.0,21.0,31.0,40.0,44.0,63.0,81.0,5.47,13.55,2025-04-01
67e88454b03910499e82c8ba,Asia,Asia Oriental,Japón,Tokio,126476461,14.0,20.0,26.0,11.0,17.0,22.0,42.0,60.0,78.0,16.0,23.0,29.0,6.45,22.32,2025-04-01
67e88454b03910499e82c8bb,Asia,Asia Meridional,India,Nueva Delhi,1380004385,49.0,70.0,91.0,42.0,60.0,78.0,14.0,21.0,27.0,26.0,38.0,49.0,6.61,11.23,2025-04-01
67e88454b03910499e82c8bc,Asia,Sudeste Asiático,Vietnam,Hanói,97338579,49.0,70.0,91.0,30.0,43.0,55.0,13.0,19.0,24.0,28.0,40.0,52.0,4.25,11.51,2025-04-01
67e88454b03910499e82c8bd,Asia,Sudeste Asiático,Filipinas,Manila,109581078,19.0,28.0,36.0,30.0,44.0,57.0,32.0,46.0,59.0,17.0,25.0,32.0,2.13,12.77,2025-04-01
67e88454b03910499e82c8be,Asia,Sudeste Asiático,Malasia,Kuala Lumpur,32365999,25.0,36.0,46.0,16.0,23.0,29.0,29.0,42.0,54.0,40.0,58.0,75.0,4.19,14.9,2025-04-01
67e88454b03910499e82c8bf,Asia,Sudeste Asiático,Indonesia,Yakarta,273523615,28.0,40.0,52.0,42.0,60.0,78.0,11.0,17.0,22.0,28.0,40.0,52.0,4.8,15.93,2025-04-01
67e88454b03910499e82c8c0,Asia,Asia Oriental,Corea del Sur,Seúl,51269185,24.0,35.0,45.0,19.0,28.0,36.0,14.0,21.0,27.0,12.0,18.0,23.0,6.02,19.16,2025-04-01
67e88454b03910499e82c8c1,Asia,Sudeste Asiático,Tailandia,Bangkok,69799978,24.0,35.0,45.0,15.0,22.0,28.0,30.0,44.0,57.0,41.0,59.0,76.0,6.78,5.9,2025-04-01
67e88454b03910499e82c8c2,Asia,Asia Occidental,Arabia Saudita,Riad,34813871,22.0,32.0,41.0,30.0,43.0,55.0,19.0,28.0,36.0,15.0,22.0,28.0,4.3,11.09,2025-04-01
67e88454b03910499e82c8c3,Asia,Asia Occidental,Turquía,Ankara,84339067,28.0,40.0,52.0,24.0,35.0,45.0,48.0,69.0,89.0,25.0,36.0,46.0,7.25,10.62,2025-04-01
67e88454b03910499e82c8c4,Asia,Sudeste Asiático,Singapur,Singapur,5850342,33.0,48.0,62.0,16.0,24.0,31.0,14.0,20.0,26.0,32.0,46.0,59.0,1.63,10.18,2025-04-01
67e88454b03910499e82c8c5,Asia,Asia Central,Kazajistán,Nursultán,18776707,35.0,50.0,65.0,23.0,33.0,42.0,41.0,59.0,76.0,42.0,60.0,78.0,7.4,10.43,2025-04-01
67e88454b03910499e82c8c6,Asia,Asia Occidental,Jordania,Amán,10203134,26.0,38.0,49.0,33.0,48.0,62.0,13.0,19.0,24.0,37.0,53.0,68.0,5.47,7.44,2025-04-01
67e88454b03910499e82c8c7,Asia,Asia Meridional,Nepal,Katmandú,29136808,10.0,15.0,19.0,14.0,21.0,27.0,37.0,53.0,68.0,39.0,57.0,74.0,2.61,6.27,2025-04-01
67e88454b03910499e82c8c8,Asia,Asia Meridional,Bangladés,Daca,164689383,39.0,56.0,72.0,42.0,61.0,79.0,46.0,67.0,87.0,25.0,36.0,46.0,3.53,20.43,2025-04-01
67e88454b03910499e82c8c9,Asia,Asia Occidental,Israel,Jerusalén,8655535,48.0,69.0,89.0,10.0,15.0,19.0,30.0,43.0,55.0,18.0,27.0,35.0,2.79,21.57,2025-04-01
67e88454b03910499e82c8ca,Asia,Asia Central,Uzbekistán,Taskent,33469203,23.0,33.0,42.0,37.0,54.0,70.0,18.0,26.0,33.0,15.0,22.0,28.0,5.43,16.85,2025-04-01
67e88454b03910499e82c8cb,Asia,Asia Occidental,Irán,Teherán,83992949,11.0,16.0,20.0,37.0,53.0,68.0,37.0,54.0,70.0,18.0,26.0,33.0,1.62,5.41,2025-04-01
67e88454b03910499e82c8cc,Asia,Asia Meridional,Pakistán,Islamabad,220892340,16.0,23.0,29.0,17.0,25.0,32.0,26.0,38.0,49.0,42.0,60.0,78.0,2.81,15.17,2025-04-01
67e8847379bdae4f6f19db1d,Europa,Western Europe,Austria,Vienna,8917205,37.8,55.08,71.28,25.92,37.8,48.6,8.64,12.96,16.2,20.52,30.24,38.88,5.55,8.99,2025-04-01
67e8847379bdae4f6f19db1e,Europa,Southern Europe,Albania,Tirana,2877797,58.32,84.24,109.08,30.24,43.2,56.16,5.4,8.64,10.8,14.04,20.52,25.92,5.79,17.24,2025-04-01
67e8847379bdae4f6f19db1f,Europa,Southern Europe,Croatia,Zagreb,3854279,43.2,62.64,81.0,32.4,47.52,61.56,15.12,21.6,28.08,11.88,18.36,23.76,7.02,11.29,2025-04-01
67e8847379bdae4f6f19db20,Europa,Western Europe,Belgium,Brussels,11589623,55.08,78.84,101.52,10.8,16.2,20.52,4.32,7.56,9.72,9.72,14.04,17.28,4.66,15.85,2025-04-01
67e8847379bdae4f6f19db21,Europa,Northern Europe,Denmark,Copenhagen,5831404,24.84,35.64,45.36,23.76,34.56,44.28,4.32,7.56,9.72,9.72,14.04,17.28,2.01,9.25,2025-04-01
67e8847379bdae4f6f19db22,Europa,Southern Europe,Bosnia and Herzegovina,Sarajevo,3280819,55.08,78.84,101.52,18.36,27.0,34.56,4.32,7.56,9.72,19.44,28.08,35.64,6.22,17.47,2025-04-01
67e8847379bdae4f6f19db23,Europa,Northern Europe,Finland,Helsinki,5540720,56.16,81.0,104.76,10.8,16.2,20.52,6.48,9.72,11.88,12.96,19.44,24.84,1.61,12.33,2025-04-01
67e8847379bdae4f6f19db24,Europa,Western Europe,Germany,Berlin,83149300,48.6,70.2,90.72,10.8,16.2,20.52,7.56,11.88,15.12,20.52,30.24,38.88,5.62,7.39,2025-04-01
67e8847379bdae4f6f19db25,Europa,Eastern Europe,Russia,Moscow,144104080,55.08,78.84,101.52,10.8,16.2,20.52,7.56,10.8,14.04,9.72,15.12,19.44,2.66,8.97,2025-04-01
67e8847379bdae4f6f19db26,Europa,Southern Europe,Serbia,Belgrade,6640000,32.4,47.52,61.56,22.68,33.48,43.2,11.88,17.28,21.6,19.44,29.16,37.8,1.77,5.11,2025-04-01
67e8847379bdae4f6f19db27,Europa,Southern Europe,Andorra,Andorra la Vella,79824,24.84,36.72,47.52,18.36,27.0,34.56,4.32,6.48,7.56,21.6,31.32,39.96,2.08,14.88,2025-04-01
67e8847379bdae4f6f19db28,Europa,Southern Europe,San Marino,San Marino,33938,22.68,33.48,43.2,28.08,41.04,52.92,14.04,20.52,25.92,14.04,20.52,25.92,7.47,6.77,2025-04-01
67e8847379bdae4f6f19db29,Europa,Eastern Europe,Slovakia,Bratislava,5458827,35.64,51.84,66.96,17.28,25.92,33.48,14.04,20.52,25.92,12.96,19.44,24.84,2.56,8.12,2025-04-01
67e8847379bdae4f6f19db2a,Europa,Southern Europe,Slovenia,Ljubljana,2100126,24.84,35.64,45.36,36.72,52.92,68.04,7.56,10.8,14.04,22.68,32.4,42.12,5.92,8.7,2025-04-01
67e8847379bdae4f6f19db2b,Europa,Southern Europe,Spain,Madrid,47351567,29.16,42.12,54.0,31.32,45.36,58.32,9.72,14.04,17.28,22.68,32.4,42.12,4.02,22.9,2025-04-01
67e8847379bdae4f6f19db2c,Europa,Northern Europe,Sweden,Stockholm,10327589,34.56,49.68,63.72,17.28,24.84,31.32,9.72,14.04,17.28,18.36,27.0,34.56,6.42,14.44,2025-04-01
67e8847379bdae4f6f19db2d,Europa,Northern Europe,United Kingdom,London,67215293,24.84,35.64,45.36,36.72,52.92,68.04,11.88,17.28,21.6,17.28,25.92,33.48,4.89,21.17,2025-04-01
67e8847379bdae4f6f19db2e,Europa,Western Europe,Switzerland,Bern,8654622,25.92,37.8,48.6,22.68,33.48,43.2,9.72,15.12,19.44,7.56,10.8,14.04,2.46,19.58,2025-04-01
67e8847379bdae4f6f19db2f,Europa,Eastern Europe,Ukraine,Kyiv,41415000,36.72,52.92,68.04,31.32,45.36,58.32,5.4,8.64,10.8,22.68,32.4,42.12,2.05,21.31,2025-04-01
67e8847379bdae4f6f19db30,Europa,Southern Europe,Vatican City,Vatican City,825,54.0,77.76,100.44,34.56,49.68,63.72,7.56,11.88,15.12,9.72,14.04,17.28,4.52,18.68,2025-04-01
67e8847379bdae4f6f19db31,Europa,Southern Europe,Greece,Athens,10724599,32.4,46.44,59.4,15.12,22.68,29.16,6.48,9.72,11.88,7.56,10.8,14.04,3.77,8.92,2025-04-01
67e8847379bdae4f6f19db32,Europa,Eastern Europe,Bulgaria,Sofia,6844597,58.32,84.24,109.08,32.4,47.52,61.56,5.4,8.64,10.8,15.12,21.6,28.08,3.13,7.16,2025-04-01
67e8847379bdae4f6f19db33,Europa,Northern Europe,Estonia,Tallinn,1326535,51.84,74.52,96.12,25.92,37.8,48.6,11.88,17.28,21.6,17.28,25.92,33.48,7.08,15.28,2025-04-01
67e8847379bdae4f6f19db34,Europa,Eastern Europe,Belarus,Minsk,9398861,34.56,49.68,63.72,37.8,54.0,70.2,14.04,20.52,25.92,16.2,23.76,30.24,4.55,10.82,2025-04-01
67e8847379bdae4f6f19db35,Europa,Eastern Europe,Czech Republic,Prague,10708981,24.84,35.64,45.36,25.92,37.8,48.6,12.96,19.44,24.84,11.88,17.28,21.6,5.34,16.23,2025-04-01
67e8847379bdae4f6f19db36,Europa,Southern Europe,Cyprus,Nicosia,1207359,39.96,58.32,75.6,31.32,45.36,58.32,9.72,15.12,19.44,8.64,12.96,16.2,6.46,15.45,2025-04-01
67e8847379bdae4f6f19db37,Europa,Eastern Europe,Hungary,Budapest,9606259,45.36,65.88,85.32,15.12,21.6,28.08,11.88,17.28,21.6,12.96,19.44,24.84,5.81,8.12,2025-04-01
67e8847379bdae4f6f19db38,Europa,Southern Europe,Malta,Valletta,514564,36.72,52.92,68.04,32.4,47.52,61.56,14.04,20.52,25.92,17.28,24.84,31.32,2.01,8.41,2025-04-01
67e8847379bdae4f6f19db39,Europa,Western Europe,France,Paris,67391582,45.36,64.8,84.24,19.44,28.08,35.64,4.32,6.48,7.56,16.2,23.76,30.24,4.29,17.73,2025-04-01
67e8847379bdae4f6f19db3a,Europa,Southern Europe,Kosovo,Pristina,1800000,52.92,76.68,99.36,31.32,45.36,58.32,11.88,17.28,21.6,11.88,17.28,21.6,5.96,19.64,2025-04-01
67e8847379bdae4f6f19db3b,Europa,Northern Europe,Latvia,Riga,1867231,47.52,68.04,87.48,36.72,52.92,68.04,4.32,6.48,7.56,7.56,10.8,14.04,1.77,12.49,2025-04-01
67e8847379bdae4f6f19db3c,Europa,Southern Europe,North Macedonia,Skopje,2083821,44.28,63.72,82.08,29.16,42.12,54.0,9.72,14.04,17.28,15.12,22.68,29.16,1.51,7.79,2025-04-01
67e8847379bdae4f6f19db3d,Europa,Northern Europe,Lithuania,Vilnius,2794700,39.96,57.24,73.44,24.84,35.64,45.36,9.72,14.04,17.28,18.36,27.0,34.56,3.95,13.8,2025-04-01
67e8847379bdae4f6f19db3e,Europa,Northern Europe,Norway,Oslo,5421241,65.88,95.04,123.12,15.12,22.68,29.16,8.64,12.96,16.2,19.44,29.16,37.8,4.52,7.82,2025-04-01
67e8847379bdae4f6f19db3f,Europa,Southern Europe,Italy,Rome,59554023,41.04,59.4,76.68,12.96,19.44,24.84,9.72,15.12,19.44,22.68,32.4,42.12,7.33,16.96,2025-04-01
67e8847379bdae4f6f19db40,Europa,Northern Europe,Ireland,Dublin,4994724,59.4,85.32,110.16,34.56,50.76,65.88,11.88,17.28,21.6,11.88,17.28,21.6,4.07,22.26,2025-04-01
67e8847379bdae4f6f19db41,Europa,Northern Europe,Iceland,Reykjavik,372520,39.96,58.32,75.6,11.88,17.28,21.6,9.72,14.04,17.28,7.56,10.8,14.04,2.74,20.44,2025-04-01
67e8847379bdae4f6f19db42,Europa,Eastern Europe,Poland,Warsaw,38386000,35.64,51.84,66.96,32.4,46.44,59.4,5.4,8.64,10.8,14.04,20.52,25.92,3.82,17.75,2025-04-01
67e8847379bdae4f6f19db43,Europa,Western Europe,Monaco,Monaco,39242,39.96,57.24,73.44,11.88,17.28,21.6,12.96,19.44,24.84,14.04,20.52,25.92,3.32,20.42,2025-04-01
67e8847379bdae4f6f19db44,Europa,Southern Europe,Portugal,Lisbon,10295909,32.4,47.52,61.56,18.36,27.0,34.56,15.12,21.6,28.08,9.72,15.12,19.44,1.87,10.84,2025-04-01
67e8847379bdae4f6f19db45,Europa,Western Europe,Luxembourg,Luxembourg,634814,20.52,30.24,38.88,32.4,46.44,59.4,10.8,16.2,20.52,11.88,17.28,21.6,6.7,21.04,2025-04-01
67e8847379bdae4f6f19db46,Europa,Southern Europe,Montenegro,Podgorica,621718,50.76,73.44,95.04,24.84,35.64,45.36,4.32,7.56,9.72,7.56,10.8,14.04,2.82,24.31,2025-04-01
67e8847379bdae4f6f19db47,Europa,Western Europe,Netherlands,Amsterdam,17441139,59.4,85.32,110.16,25.92,37.8,48.6,4.32,7.56,9.72,11.88,17.28,21.6,2.52,19.26,2025-04-01
67e8847379bdae4f6f19db48,Europa,Eastern Europe,Romania,Bucharest,19121610,28.08,41.04,52.92,18.36,27.0,34.56,15.12,21.6,28.08,15.12,22.68,29.16,1.69,24.01,2025-04-01
67e8847379bdae4f6f19db49,Europa,Western Europe,Liechtenstein,Vaduz,38910,32.4,47.52,61.56,15.12,22.68,29.16,10.8,16.2,20.52,12.96,19.44,24.84,1.88,13.64,2025-04-01
67e8847379bdae4f6f19db4a,Europa,Eastern Europe,Moldova,Chișinău,2640438,22.68,32.4,42.12,22.68,33.48,43.2,4.32,7.56,9.72,11.88,18.36,23.76,2.61,19.59,2025-04-01
